Date	Present	Shelf	Dupe
 September 1952	x	1
 October 1952
 November 1952
 December 1952
 January 1953
 February 1953
 March 1953
 April 1953
 May 1953
 June 1953
 July 1953
 August 1953
 September 1953
 October 1953
 November 1953
 December 1953
 January 1954
 February 1954	x	1
 March 1954
 April 1954
 May 1954
 June 1954
 July 1954
 August 1954
 September 1954
 October 1954
 November 1954
 December 1954
 January 1955
 February 1955
 March 1955
 April 1955
 May 1955
 June 1955
 July 1955
 August 1955
 September 1955
 October 1955	x	1
 November 1955
 December 1955
 January 1956
 February 1956
 March 1956
 April 1956
 May 1956
 June 1956
 July 1956
 August 1956
 September 1956
 October 1956
 November 1956
 December 1956
 January 1957
 February 1957
 March 1957
 April 1957
 May 1957
 June 1957
 July 1957
 August 1957
 September 1957
 October 1957	x	1
 November 1957
 December 1957
 January 1958
 February 1958
 March 1958
 April 1958
 May 1958	x	1
 June 1958	x	1
 July 1958
 August 1958
 September 1958
 October 1958
 November 1958
 December 1958	x	1
 January 1959
 February 1959
 March 1959
 April 1959
 May 1959
 June 1959
 July 1959
 August 1959
 September 1959	x	1
 October 1959
 November 1959
 December 1959
 January 1960	x	1
 February 1960	x	1
 March 1960
 April 1960	x	1
 May 1960
 June 1960
 July 1960
 August 1960
 September 1960	x	1
 October 1960
 November 1960	x	1
 December 1960	x	1
 January 1961	x	1
 February 1961
 March 1961
 April 1961
 May 1961	x	1
 June 1961
 July 1961	x	1
 August 1961
 September 1961
 October 1961
 November 1961
 December 1961	x	1
 January 1962
 February 1962	x	1
 March 1962
 April 1962	x	1
 May 1962
 June 1962
 July 1962	x	1	D
 August 1962
 September 1962
 October 1962
 November 1962
 December 1962	x	1
 January 1963	x	1
 February 1963	x	1
 March 1963	x	1
 April 1963
 May 1963
 June 1963	x	1
 July 1963
 August 1963	x	1
 September 1963	x	1
 October 1963	x	1
 November 1963
 December 1963	x	1
 January 1964
 February 1964
 March 1964
 April 1964
 May 1964	x	1
 June 1964	x	1
 July 1964	x	1
 August 1964
 September 1964	x	1
 October 1964
 November 1964	x	2
 December 1964
 January 1965
 February 1965
 March 1965
 April 1965	x	2
 May 1965
 June 1965	x	2
 July 1965
 August 1965
 September 1965
 October 1965
 November 1965
 December 1965
 January 1966
 February 1966	x	1
 March 1966
 April 1966
 May 1966
 June 1966
 July 1966
 August 1966	x	1
 September 1966
 October 1966
 November 1966
 December 1966
 January 1967	x	1
 February 1967
 March 1967
 April 1967
 May 1967
 June 1967
 July 1967
 August 1967
 September 1967
 October 1967
 November 1967
 December 1967
 January 1968
 February 1968
 March 1968
 April 1968
 May 1968
 June 1968	x	2
 July 1968
 August 1968
 September 1968
 October 1968
 November 1968	x	1	D
 December 1968
 January 1969	x	1
 February 1969	x	1	D
 March 1969
 April 1969	x	1
 May 1969	x	1
 June 1969
 July 1969	x	1
 August 1969	x	1
 September 1969
 October 1969
 November 1969	x	1
 December 1969
 January 1970	x	1
 February 1970	x	1
 March 1970	x	1
 April 1970
 May 1970
 June 1970
 July 1970	x	1
 August 1970	x	1
 September 1970
 October 1970	X	1
 November 1970
 December 1970	x	1
 January 1971
 February 1971
 March 1971
 April 1971
 May 1971	x	1
 June 1971
 July 1971	x	1
 August 1971
 September 1971
 October 1971
 November 1971
 December 1971
 January 1972	x	1
 February 1972	x	1
 March 1972
 April 1972
 May 1972
 June 1972
 July 1972
 August 1972	x	1
 September 1972
 October 1972
 November 1972	x	1
 December 1972	x	1
 January 1973	x	1
 February 1973	x	1
 March 1973	x	1
 April 1973
 May 1973	x	1
 June 1973	x	3
 July 1973
 August 1973	x	1
 September 1973	x	1	D
 October 1973
 November 1973	x	1
 December 1973	x	1
 January 1974
 February 1974	x	1
 March 1974	x	1	D
 April 1974	x	1
 May 1974	x	1
 June 1974
 July 1974
 August 1974	x	1
 September 1974
 October 1974	x	1
 November 1974
 December 1974
 January 1975	x	1
 February 1975
 March 1975
 April 1975	x	1
 May 1975	x	1
 June 1975
 July 1975	x	1
 August 1975	x	1
 September 1975	x	1
 October 1975	x	1	D
 November 1975	x	1
 December 1975	x	1
 January 1976	x	1
 February 1976	x	1
 March 1976	x	1
 April 1976	x	1
 May 1976	x	1
 June 1976	x	1
 July 1976	x	4
 August 1976	x	1
 September 1976	x	1
 October 1976	x	1
 November 1976	x	1
 December 1976	x	1	D
 January 1977	x	1
 February 1977	x	1
 March 1977	x	1
 April 1977	x	1
 May 1977	x	1
